Country;2004;2006;2008;2010;2012;2014;2016;2018
Union européenne - 27 pays (à partir de 2020);9540000;11410000;12090000;12340000;12880000;14940000;15140000;16900000
Union européenne;11580000;14860000;14580000;14370000;15260000;17620000;18090000;19820000
Belgique;1332559;631509;1074910;716165;651775;1395458;715623;745450
Bulgarie;44246;25864;72972;59950;99922;196124;213449;260939
Tchéquie;169315;214116;232260;253923;325623;347929;430416;565453
Danemark;53996;53779;72692;78548;104816;98820;114585;105457
Allemagne;1138544;1413697;1936296;2288466;2530498;2704367;2734235;2864626
Estonie;74358;89683;93713;25390;22706;32966;42836;52389
Irlande;309155;358202;39128;335134;121812;183148;148536;158578
Grèce;355234;755493;672636;226992;133232;192248;256905;203069
Espagne;1205087;1616607;1903919;1465233;1142921;1105552;731064;815282
France;1252500;1166210;1551260;1436697;1646794;1729628;1955098;2058723
Croatie;63232;186368;29505;24807;39186;49116;65131;71670
Italie;1394288;1564187;1608694;2141461;2781865;3215966;3931868;4388081
Chypre;76365;56708;68365;83994;4243;5242;6222;8352
Lettonie;720;12122;8556;8116;21576;23397;61891;89055
Lituanie;17687;29869;30555;39960;50638;73131;88744;102441
Luxembourg;17796;32195;19562;27304;26329;26325;28860;30005
Hongrie;125321;146575;150309;151480;185787;243630;221334;207563
Malte;223;673;2370;3520;4359;5660;8657;7201
Pays-Bas;373761;377778;409640;518143;574632;570769;521658;562236
Autriche;589335;350081;640521;564604;357595;371417;371236;380208
Pologne;195685;325373;407167;863236;969653;1188512;1296322;1775671
Portugal;234411;996201;193001;165192;176396;232192;307204;370413
Roumanie;190688;580044;418975;407225;488164;345617;280235;301379
Slovénie;38289;43486;47275;56280;47777;61829;59273;69460
Slovaquie;42470;75298;94192;111327;108140;124269;148697;192170
Finlande;79235;125325;87033;71352;91349;116859;87361;120091
Suède;165970;188173;223251;218839;175836;301187;315976;396061
Islande;3932;:;5481;4358;6427;5553;7975;10966
Liechtenstein;:;:;241;365;173;207;336;268
Norvège;56629;85475;92152;88845;157859;244118;244217;275537
Royaume-Uni;2042781;3447447;2488759;2031292;2378525;2678997;2947998;2922915
Monténégro;:;:;:;:;130;4104;2975;3269
Macédoine du Nord;:;:;1194;4031;10860;8792;24591;66671
Albanie;:;:;:;:;:;:;:;:
Serbie;:;:;:;6820;17854;27553;55076;56220
Turquie;204385;0;405008;217310;214580;223381;658164;725276
Bosnie-Herzégovine;:;:;:;:;1867;27986;13626;20290
Kosovo;:;:;:;:;877;4206;4625;38559
