,Entity,Code,Year,Global plastics production (million tonnes),min emit,max emit
0,World,OWID_WRL,1950,2000000,3400000000,7000000000
1,World,OWID_WRL,1951,2000000,3400000000,7000000000
2,World,OWID_WRL,1952,2000000,3400000000,7000000000
3,World,OWID_WRL,1953,3000000,5100000000,10500000000
4,World,OWID_WRL,1954,3000000,5100000000,10500000000
5,World,OWID_WRL,1955,4000000,6800000000,14000000000
6,World,OWID_WRL,1956,5000000,8500000000,17500000000
7,World,OWID_WRL,1957,5000000,8500000000,17500000000
8,World,OWID_WRL,1958,6000000,10200000000,21000000000
9,World,OWID_WRL,1959,7000000,11900000000,24500000000
10,World,OWID_WRL,1960,8000000,13600000000,28000000000
11,World,OWID_WRL,1961,9000000,15300000000,31500000000
12,World,OWID_WRL,1962,11000000,18700000000,38500000000
13,World,OWID_WRL,1963,13000000,22100000000,45500000000
14,World,OWID_WRL,1964,15000000,25500000000,52500000000
15,World,OWID_WRL,1965,17000000,28900000000,59500000000
16,World,OWID_WRL,1966,20000000,34000000000,70000000000
17,World,OWID_WRL,1967,23000000,39100000000,80500000000
18,World,OWID_WRL,1968,27000000,45900000000,94500000000
19,World,OWID_WRL,1969,32000000,54400000000,112000000000
20,World,OWID_WRL,1970,35000000,59500000000,122500000000
21,World,OWID_WRL,1971,38000000,64600000000,133000000000
22,World,OWID_WRL,1972,44000000,74800000000,154000000000
23,World,OWID_WRL,1973,51000000,86700000000,178500000000
24,World,OWID_WRL,1974,52000000,88400000000,182000000000
25,World,OWID_WRL,1975,46000000,78200000000,161000000000
26,World,OWID_WRL,1976,54000000,91800000000,189000000000
27,World,OWID_WRL,1977,59000000,100300000000,206500000000
28,World,OWID_WRL,1978,64000000,108800000000,224000000000
29,World,OWID_WRL,1979,71000000,120700000000,248500000000
30,World,OWID_WRL,1980,70000000,119000000000,245000000000
31,World,OWID_WRL,1981,72000000,122400000000,252000000000
32,World,OWID_WRL,1982,73000000,124100000000,255500000000
33,World,OWID_WRL,1983,80000000,136000000000,280000000000
34,World,OWID_WRL,1984,86000000,146200000000,301000000000
35,World,OWID_WRL,1985,90000000,153000000000,315000000000
36,World,OWID_WRL,1986,96000000,163200000000,336000000000
37,World,OWID_WRL,1987,104000000,176800000000,364000000000
38,World,OWID_WRL,1988,110000000,187000000000,385000000000
39,World,OWID_WRL,1989,114000000,193800000000,399000000000
40,World,OWID_WRL,1990,120000000,204000000000,420000000000
41,World,OWID_WRL,1991,124000000,210800000000,434000000000
42,World,OWID_WRL,1992,132000000,224400000000,462000000000
43,World,OWID_WRL,1993,137000000,232900000000,479500000000
44,World,OWID_WRL,1994,151000000,256700000000,528500000000
45,World,OWID_WRL,1995,156000000,265200000000,546000000000
46,World,OWID_WRL,1996,168000000,285600000000,588000000000
47,World,OWID_WRL,1997,180000000,306000000000,630000000000
48,World,OWID_WRL,1998,188000000,319600000000,658000000000
49,World,OWID_WRL,1999,202000000,343400000000,707000000000
50,World,OWID_WRL,2000,213000000,362100000000,745500000000
51,World,OWID_WRL,2001,218000000,370600000000,763000000000
52,World,OWID_WRL,2002,231000000,392700000000,808500000000
53,World,OWID_WRL,2003,241000000,409700000000,843500000000
54,World,OWID_WRL,2004,256000000,435200000000,896000000000
55,World,OWID_WRL,2005,263000000,447100000000,920500000000
56,World,OWID_WRL,2006,280000000,476000000000,980000000000
57,World,OWID_WRL,2007,295000000,501500000000,1032500000000
58,World,OWID_WRL,2008,281000000,477700000000,983500000000
59,World,OWID_WRL,2009,288000000,489600000000,1008000000000
60,World,OWID_WRL,2010,313000000,532100000000,1095500000000
61,World,OWID_WRL,2011,325000000,552500000000,1137500000000
62,World,OWID_WRL,2012,338000000,574600000000,1183000000000
63,World,OWID_WRL,2013,352000000,598400000000,1232000000000
64,World,OWID_WRL,2014,367000000,623900000000,1284500000000
65,World,OWID_WRL,2015,381000000,647700000000,1333500000000
